Texture_Contrast_Nuclei_3_00_256,Intensity_MeanIntensityEdge_Nuclei,Texture_DifferenceEntropy_Nuclei_3_00_256,Intensity_MaxIntensityEdge_Nuclei,Intensity_StdIntensityEdge_Nuclei,Intensity_LowerQuartileIntensity_Nuclei,Texture_Correlation_Nuclei_3_02_256,Texture_InfoMeas1_Nuclei_3_02_256,Intensity_MeanIntensity_Nuclei,Intensity_StdIntensity_Nuclei,Texture_InfoMeas1_Nuclei_3_03_256,Texture_Contrast_Nuclei_3_01_256,Intensity_MinIntensityEdge_Nuclei,Intensity_MinIntensity_Nuclei,Intensity_MADIntensity_Nuclei,Texture_Correlation_Nuclei_3_00_256,Texture_AngularSecondMoment_Nuclei_3_00_256,Intensity_IntegratedIntensityEdge_Nuclei,Intensity_IntegratedIntensity_Nuclei,Intensity_MassDisplacement_Nuclei,Intensity_MaxIntensity_Nuclei,Texture_Correlation_Nuclei_3_03_256,CellType
18.54662005,0.01849399,3.246623008,0.03138471,0.004422895,0.032798436,0.401583824,-0.071561898,0.048039674,0.018705379,-0.071701366,25.14768461,0.009330589,0.009330589,0.016964708,0.521725987,0.025929005,2.126808832,60.04064512,1.20562781,0.071817264,0.352944555,M1
24.26937269,0.017577682,3.44590318,0.031667456,0.004801033,0.034494907,0.462446778,-0.070147753,0.048445207,0.018138958,-0.035811948,29.15678776,0.007916864,0.007916864,0.015550978,0.329103358,0.013857212,2.302676304,59.95440808,0.101394771,0.071817264,0.157346871,M1
19.23636364,0.017591182,3.186685343,0.034777649,0.005074549,0.033646669,0.486769032,-0.105418827,0.051047769,0.019958071,-0.06978544,28.80103359,0.007068628,0.007068628,0.017671574,0.544755147,0.073090174,1.794300559,59.49551195,0.695924846,0.071817264,0.371621114,M1
22.08,0.018141604,3.366440922,0.031950198,0.005084437,0.029052061,0.493476689,-0.077309148,0.046249198,0.019433869,-0.045362774,32.94141829,0.009047844,0.009047844,0.018095691,0.508641424,0.020654372,2.122567645,59.39146172,0.472741572,0.071817264,0.280438763,M1
23.50080906,0.018037816,3.386517529,0.029122747,0.00428367,0.033222552,0.506121718,-0.089442001,0.048787216,0.019150717,-0.043639047,29.21637931,0.008482354,0.008482354,0.018661175,0.415142319,0.036114188,3.084466574,59.35046387,1.052071688,0.071817264,0.289049634,M1
13.66904422,0.019002958,3.04412034,0.030819217,0.004520137,0.030253727,0.276300683,-0.048954594,0.038738547,0.013047663,-0.039226281,19.15454545,0.01102706,0.01102706,0.008482352,0.323900936,0.009712027,1.729269181,59.34622284,0.138849164,0.071817264,0.098948041,M1
18.95367412,0.018297249,3.253857521,0.028840002,0.004052757,0.025729805,0.477385574,-0.096465987,0.038219996,0.015722404,-0.048814437,22.37668919,0.01046157,0.01046157,0.010744317,0.374960527,0.007499821,1.848022137,59.20004336,0.075685769,0.071817264,0.184503282,M1
17.73370787,0.017750937,3.002893047,0.03251569,0.004555552,0.032798436,0.570113571,-0.145590811,0.052493574,0.02068174,-0.099307338,27.15971395,0.008199609,0.008199609,0.01130981,0.594561731,0.137847494,2.023606864,59.1997607,0.043857162,0.071817264,0.466658205,M1
20.59252451,0.01795919,3.335213022,0.033929415,0.004607843,0.028557256,0.382793669,-0.043656463,0.042988575,0.017340768,-0.034736702,27.16528398,0.007634118,0.007634118,0.013854507,0.410098485,0.007809872,4.166532171,59.12568153,2.151507719,0.071817264,0.306295356,M1
13.96055046,0.017836933,3.06074498,0.030253727,0.004457069,0.027567649,0.328991238,-0.050745709,0.040118775,0.015849724,-0.039164442,21.32723577,0.007068628,0.007068628,0.011592554,0.53420056,0.007035182,2.943094008,58.76433314,1.556295834,0.071817264,0.257112027,M1
