Texture_Contrast_Nuclei_3_00_256,AreaShape_Area,Intensity_MeanIntensityEdge_Nuclei,Texture_DifferenceEntropy_Nuclei_3_00_256,Intensity_MaxIntensityEdge_Nuclei,AreaShape_Eccentricity,Intensity_StdIntensityEdge_Nuclei,Intensity_LowerQuartileIntensity_Nuclei,Texture_Correlation_Nuclei_3_02_256,AreaShape_Zernike_4_2,Texture_InfoMeas1_Nuclei_3_02_256,Intensity_MeanIntensity_Nuclei,Intensity_StdIntensity_Nuclei,AreaShape_Zernike_0_0,Texture_InfoMeas1_Nuclei_3_03_256,Texture_Contrast_Nuclei_3_01_256,AreaShape_MaximumRadius,Intensity_MinIntensityEdge_Nuclei,AreaShape_BoundingBoxMaximum_X,AreaShape_Zernike_4_0,Intensity_MinIntensity_Nuclei,Intensity_MADIntensity_Nuclei,Texture_Correlation_Nuclei_3_00_256,Texture_AngularSecondMoment_Nuclei_3_00_256,Intensity_IntegratedIntensityEdge_Nuclei,Intensity_IntegratedIntensity_Nuclei,AreaShape_Compactness,AreaShape_BoundingBoxMaximum_Y,AreaShape_Zernike_3_1,Intensity_MassDisplacement_Nuclei,AreaShape_Zernike_2_0,AreaShape_Zernike_5_3,Intensity_MaxIntensity_Nuclei,AreaShape_Zernike_7_5,AreaShape_MinFeretDiameter,Texture_Correlation_Nuclei_3_03_256,CellType
10.35404455,971,0.018628464,2.799000825,0.030536473,0.814538502,0.004443196,0.02375059,0.39230777,0.042501308,-0.070701549,0.032324087,0.011794891,0.576102329,-0.049900624,13.54891995,10.81665383,0.009047844,917,0.010989519,0.009047844,0.007634122,0.427380582,0.012064859,2.254044146,67.58174043,1.655431442,214,0.021939978,1.557612611,0.150354711,0.011252474,0.071817264,0.012433618,30.2323081,0.268326258,M1
17.82093664,810,0.019700951,3.204653976,0.042977259,0.61084842,0.006963463,0.028840002,0.334774886,0.016662806,-0.0692375,0.041170134,0.016016337,0.787393445,-0.049000147,25.09777778,14.0,0.010178825,981,0.052674154,0.010178825,0.010744317,0.428505197,0.008580357,1.832188415,66.44934569,1.100550236,213,0.009611384,0.968913869,0.139850632,0.014954582,0.071817264,0.005613314,27.0,0.23341304,M1
17.00255918,1743,0.01827283,3.215145772,0.034212161,0.862262232,0.004583299,0.036474124,0.498546826,0.054893589,-0.070312899,0.048894143,0.017337844,0.521210921,-0.029312923,21.40013141,17.4642492,0.009330589,286,0.003673803,0.009330589,0.013571769,0.480151371,0.014730641,3.033289701,65.91213007,1.648585317,245,0.010689031,0.584702975,0.138934453,0.024470494,0.071817264,0.013587838,38.55435312,0.186784224,M1
13.8136646,1262,0.019093835,3.066469712,0.035625886,0.877933978,0.004457198,0.029122747,0.495363573,0.032643987,-0.078916512,0.042314309,0.016920657,0.481294492,-0.069716589,24.3219697,14.0,0.00989608,346,0.003277482,0.00989608,0.012723533,0.596203955,0.009224654,2.844981469,65.46426218,1.860736197,234,0.052247966,1.196996698,0.129606352,0.024929693,0.071817264,0.006117807,30.71133082,0.451590652,M1
15.25335721,1274,0.020948315,3.136866399,0.050328631,0.652977861,0.007664464,0.029405491,0.53323584,0.015186188,-0.084929,0.041791683,0.016295908,0.571840938,-0.074348303,22.04971857,13.89244399,0.008482354,197,0.005816595,0.008482354,0.011309806,0.515515907,0.010224102,3.058454027,65.45719315,1.814498549,238,0.005147618,0.330598791,0.17135112,0.030196757,0.071817264,0.00626653,39.3547964,0.441074858,M1
17.07112616,1289,0.018625236,3.192806604,0.028557256,0.608677642,0.004034472,0.029405491,0.568885912,0.012681083,-0.0920073,0.044505706,0.017548778,0.791323902,-0.075025788,22.29758713,17.88854382,0.010744315,110,0.039912359,0.010744315,0.014844118,0.53815004,0.008721207,2.197777857,65.15041482,1.131761998,256,0.014118087,1.64396826,0.129072253,0.016358798,0.071817264,0.008874253,35.0,0.487702715,M1
16.16459198,1641,0.018000885,3.179473472,0.028840002,0.867548656,0.003887459,0.028840002,0.558801003,0.035363084,-0.087849305,0.042070269,0.016962026,0.502014919,-0.03593399,20.32925953,13.34166406,0.009047844,563,0.036482937,0.009047844,0.012440786,0.52973376,0.009824402,3.060150512,64.4562756,1.888440989,287,0.067233053,1.445326881,0.096539482,0.010511653,0.071817264,0.015242601,35.77960313,0.308088143,M1
11.57997558,909,0.028347817,2.905661446,0.068141572,0.791439686,0.015251665,0.041280787,0.523553276,0.016362223,-0.123293474,0.052985317,0.017290494,0.620576271,-0.101356648,17.87903226,12.64911064,0.008199609,995,0.005559542,0.008199609,0.016116472,0.636809575,0.064804006,3.061564201,64.45005547,1.37657645,254,0.014696144,0.564494869,0.179344212,0.003406194,0.071817264,0.005592378,26.40804718,0.45225216,M1
17.44356578,1575,0.017858932,3.222450289,0.033929415,0.799693163,0.004243936,0.03251569,0.58914304,0.032408188,-0.107258682,0.046824209,0.018100428,0.543455903,-0.042281678,22.8103062,15.13274595,0.009613334,261,0.030897973,0.009613334,0.014844118,0.531547839,0.023959096,2.96458264,64.32253687,1.824434418,261,0.063865102,0.898866426,0.116078833,0.012550496,0.071817264,0.01559237,39.9103459,0.288069674,M1
13.46428571,1716,0.018474645,3.037660467,0.033929415,0.729640307,0.004709374,0.029122747,0.630279508,0.013786866,-0.112463793,0.046002434,0.019232412,0.702795945,-0.076183864,22.3364486,19.0,0.008765099,656,0.023720126,0.008765099,0.017812945,0.701455795,0.034490989,2.660348884,64.12263612,1.220423446,277,0.008844367,1.331531275,0.159622076,0.00868683,0.071817264,0.008041471,38.0,0.519778218,M1
