Texture_Contrast_Nuclei_3_00_256,AreaShape_Area,Texture_DifferenceEntropy_Nuclei_3_00_256,AreaShape_Zernike_4_2,Texture_Correlation_Nuclei_3_02_256,AreaShape_Eccentricity,Texture_InfoMeas1_Nuclei_3_02_256,Texture_DifferenceVariance_Nuclei_3_00_256,Texture_Contrast_Nuclei_3_01_256,Texture_InfoMeas1_Nuclei_3_01_256,AreaShape_Zernike_0_0,AreaShape_Zernike_4_4,Texture_Correlation_Nuclei_3_00_256,Texture_AngularSecondMoment_Nuclei_3_00_256,AreaShape_Compactness,AreaShape_BoundingBoxMaximum_Y,AreaShape_Orientation,AreaShape_MaximumRadius,AreaShape_Zernike_7_1,AreaShape_Zernike_2_0,AreaShape_MinFeretDiameter,AreaShape_Zernike_7_5,Texture_InfoMeas1_Nuclei_3_03_256,CellType
15.86672474,1265,3.146458089,0.011526246,0.593442261,0.360284402,-0.119044463,0.004521559,20.9562443,-0.078555454,0.863904118,0.017072441,0.605077335,0.022129836,1.095806814,208,54.8549617,18.60107524,0.004575125,0.109703363,38.0,0.005346388,-0.085232808,M1
10.35404455,971,2.799000825,0.042501308,0.39230777,0.814538502,-0.070701549,0.006501308,13.54891995,-0.052441743,0.576102329,0.008112849,0.427380582,0.012064859,1.655431442,214,-78.98203706,10.81665383,0.010185915,0.150354711,30.2323081,0.012433618,-0.049900624,M1
17.82093664,810,3.204653976,0.016662806,0.334774886,0.61084842,-0.0692375,0.004157511,25.09777778,-0.045327519,0.787393445,0.012985226,0.428505197,0.008580357,1.100550236,213,81.12420947,14.0,0.012662925,0.139850632,27.0,0.005613314,-0.049000147,M1
17.00255918,1743,3.215145772,0.054893589,0.498546826,0.862262232,-0.070312899,0.003731777,21.40013141,-0.047945224,0.521210921,0.024017905,0.480151371,0.014730641,1.648585317,245,32.30403599,17.4642492,0.006253325,0.138934453,38.55435312,0.013587838,-0.029312923,M1
13.8136646,1262,3.066469712,0.032643987,0.495363573,0.877933978,-0.078916512,0.004380165,24.3219697,-0.048400414,0.481294492,0.030406136,0.596203955,0.009224654,1.860736197,234,84.33239095,14.0,0.008773713,0.129606352,30.71133082,0.006117807,-0.069716589,M1
15.25335721,1274,3.136866399,0.015186188,0.53323584,0.652977861,-0.084929,0.004233813,22.04971857,-0.047831146,0.571840938,0.021284762,0.515515907,0.010224102,1.814498549,238,18.5082302,13.89244399,0.002009433,0.17135112,39.3547964,0.00626653,-0.074348303,M1
17.07112616,1289,3.192806604,0.012681083,0.568885912,0.608677642,-0.0920073,0.004057308,22.29758713,-0.060298097,0.791323902,0.012503551,0.53815004,0.008721207,1.131761998,256,75.28944984,17.88854382,0.015258206,0.129072253,35.0,0.008874253,-0.075025788,M1
16.16459198,1641,3.179473472,0.035363084,0.558801003,0.867548656,-0.087849305,0.00388497,20.32925953,-0.053487076,0.502014919,0.02375323,0.52973376,0.009824402,1.888440989,287,11.70072283,13.34166406,0.002341221,0.096539482,35.77960313,0.015242601,-0.03593399,M1
11.57997558,909,2.905661446,0.016362223,0.523553276,0.791439686,-0.123293474,0.005998198,17.87903226,-0.088321197,0.620576271,0.029151076,0.636809575,0.064804006,1.37657645,254,-80.87260938,12.64911064,0.008283373,0.179344212,26.40804718,0.005592378,-0.101356648,M1
17.44356578,1575,3.222450289,0.032408188,0.58914304,0.799693163,-0.107258682,0.00394087,22.8103062,-0.060167863,0.543455903,0.037221224,0.531547839,0.023959096,1.824434418,261,46.89732425,15.13274595,0.014911868,0.116078833,39.9103459,0.01559237,-0.042281678,M1
